"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 07 2022","19281.5","18786.3","19445.9","18548.4","319.10K","2.64%"
"Sep 06 2022","18786.4","19793.4","20169.3","18723.3","402.43K","-5.09%"
"Sep 05 2022","19793.1","19999.9","20042.9","19650.7","238.71K","-1.03%"
"Sep 04 2022","19999.9","19832.2","20017.8","19594.7","158.27K","0.85%"
"Sep 03 2022","19831.4","19952.8","20043.8","19660.7","157.85K","-0.61%"
"Sep 02 2022","19952.7","20131.6","20428.2","19764.7","272.22K","-0.86%"
"Sep 01 2022","20126.1","20049.9","20202.7","19584.4","275.08K","0.41%"
"Aug 31 2022","20043.9","19793.4","20469.1","19793.4","318.17K","1.27%"
"Aug 30 2022","19792.6","20295.6","20558.2","19559.7","308.41K","-2.48%"
"Aug 29 2022","20295.8","19551.3","20394.5","19551.2","248.04K","3.81%"
"Aug 28 2022","19550.2","20034.2","20150.8","19542.9","159.60K","-2.41%"
"Aug 27 2022","20033.9","20249.9","20343.6","19849.8","187.34K","-1.07%"
"Aug 26 2022","20249.9","21564.2","21815.3","20122.4","322.16K","-6.10%"
"Aug 25 2022","21565.4","21365.4","21801.2","21324.8","190.15K","0.94%"
"Aug 24 2022","21365.2","21516.2","21832.3","21171.1","202.40K","-0.71%"
"Aug 23 2022","21517.2","21416.5","21661.0","20919.6","228.65K","0.47%"
"Aug 22 2022","21416.3","21516.8","21517.4","20912.1","251.83K","-0.47%"
"Aug 21 2022","21517.2","21138.9","21692.4","21077.4","177.52K","1.79%"
"Aug 20 2022","21138.9","20830.7","21357.4","20784.8","206.94K","1.48%"
"Aug 19 2022","20831.3","23201.6","23202.3","20807.8","339.47K","-10.22%"
"Aug 18 2022","23203.6","23337.7","23578.0","23131.3","160.97K","-0.58%"
"Aug 17 2022","23338.0","23855.8","24423.5","23191.6","239.53K","-2.17%"
"Aug 16 2022","23856.8","24102.6","24240.8","23693.8","201.70K","-1.02%"
"Aug 15 2022","24101.7","24303.3","25205.7","23784.5","279.28K","-0.83%"
"Aug 14 2022","24302.8","24442.1","24997.3","24172.2","177.25K","-0.57%"
"Aug 13 2022","24442.5","24398.9","24882.9","24318.7","170.59K","0.18%"
"Aug 12 2022","24398.7","23935.3","24440.8","23616.4","194.96K","1.94%"
"Aug 11 2022","23935.3","23963.3","24873.5","23864.0","285.36K","-0.12%"
"Aug 10 2022","23962.9","23150.3","24209.9","22714.7","243.61K","3.53%"
"Aug 09 2022","23146.7","23818.1","23912.0","22886.5","169.62K","-2.81%"
"Aug 08 2022","23816.3","23175.3","24234.1","23160.6","197.94K","2.77%"
"Aug 07 2022","23175.3","22944.2","23387.7","22852.3","99.36K","1.01%"
"Aug 06 2022","22944.2","23308.2","23344.4","22923.6","94.44K","-1.56%"
"Aug 05 2022","23308.2","22613.3","23447.6","22593.5","208.90K","3.08%"
"Aug 04 2022","22612.1","22822.2","23214.5","22438.7","181.19K","-0.91%"
"Aug 03 2022","22820.8","22988.7","23623.7","22698.6","174.66K","-0.73%"
"Aug 02 2022","22988.6","23271.1","23423.3","22670.8","177.30K","-1.21%"
"Aug 01 2022","23271.2","23303.4","23484.4","22863.8","162.33K","-0.14%"
"Jul 31 2022","23303.4","23634.2","24179.3","23236.2","138.84K","-1.40%"
"Jul 30 2022","23634.2","23774.2","24605.3","23521.8","168.72K","-0.59%"
"Jul 29 2022","23774.3","23850.2","24340.0","23451.4","221.66K","-0.32%"
"Jul 28 2022","23850.0","22957.7","24190.5","22611.6","268.32K","3.88%"
"Jul 27 2022","22958.3","21248.0","23027.8","21047.5","242.66K","8.05%"
"Jul 26 2022","21248.7","21301.6","21322.3","20737.3","201.57K","-0.25%"
"Jul 25 2022","21301.9","22582.3","22653.3","21275.4","206.93K","-5.67%"
"Jul 24 2022","22582.1","22449.8","22987.9","22281.3","126.66K","0.54%"
"Jul 23 2022","22460.4","22683.6","22991.0","21971.7","137.42K","-0.95%"
"Jul 22 2022","22675.2","23150.0","23741.4","22524.2","197.54K","-2.06%"
"Jul 21 2022","23153.0","23219.9","23403.8","22360.2","217.08K","-0.27%"
"Jul 20 2022","23215.2","23412.0","24258.0","22944.4","281.31K","-0.83%"
"Jul 19 2022","23410.2","22529.3","23757.3","21581.8","308.91K","3.93%"
"Jul 18 2022","22525.8","20785.6","22714.9","20770.6","279.72K","8.37%"
"Jul 17 2022","20785.6","21209.8","21654.4","20755.2","132.81K","-2.00%"
"Jul 16 2022","21209.9","20825.2","21561.3","20484.4","136.89K","1.85%"
"Jul 15 2022","20825.1","20586.1","21178.1","20393.4","164.67K","1.16%"
"Jul 14 2022","20586.0","20250.0","20862.2","19664.9","205.28K","1.66%"
"Jul 13 2022","20250.0","19331.6","20250.8","18942.2","249.38K","4.75%"
"Jul 12 2022","19330.9","19963.2","20051.7","19279.6","167.91K","-3.17%"
"Jul 11 2022","19963.2","20847.2","20855.0","19897.0","160.20K","-4.24%"
"Jul 10 2022","20847.4","21587.4","21599.2","20689.7","204.68K","-3.43%"
"Jul 09 2022","21587.5","21610.4","21944.1","21338.4","190.11K","-0.11%"
"Jul 08 2022","21611.2","21637.1","22482.1","21207.0","439.90K","-0.12%"
"Jul 07 2022","21637.8","20557.9","21817.8","20282.7","115.81K","5.24%"
"Jul 06 2022","20561.1","20180.4","20654.9","19785.3","105.24K","1.78%"
"Jul 05 2022","20200.6","20215.8","20706.9","19315.4","122.43K","-0.08%"
"Jul 04 2022","20215.8","19310.6","20303.8","19052.5","92.79K","4.69%"
"Jul 03 2022","19309.9","19243.4","19626.4","18794.4","65.27K","0.35%"
"Jul 02 2022","19243.2","19275.4","19425.4","19006.4","58.57K","-0.10%"
"Jul 01 2022","19262.9","19926.6","20785.6","18980.1","150.18K","-3.33%"
"Jun 30 2022","19926.6","20111.3","20155.1","18682.7","127.73K","-0.92%"
"Jun 29 2022","20111.3","20278.0","20415.8","19880.7","98.97K","-0.82%"
"Jun 28 2022","20278.0","20727.9","21200.2","20210.5","83.83K","-2.18%"
"Jun 27 2022","20730.2","21037.7","21497.5","20568.0","84.69K","-1.49%"
"Jun 26 2022","21043.5","21489.9","21837.4","20989.7","67.21K","-2.08%"
"Jun 25 2022","21489.9","21226.9","21553.4","20917.5","66.63K","1.24%"
"Jun 24 2022","21226.9","21100.9","21488.7","20743.9","104.56K","0.60%"
"Jun 23 2022","21100.7","19967.3","21189.8","19907.5","110.70K","5.68%"
"Jun 22 2022","19965.8","20720.2","20864.3","19780.2","125.94K","-3.64%"
"Jun 21 2022","20720.4","20571.6","21689.3","20371.7","136.32K","0.72%"
"Jun 20 2022","20572.3","20576.9","20996.8","19658.8","140.60K","-0.02%"
"Jun 19 2022","20577.2","18983.4","20763.5","17983.7","169.39K","8.38%"
"Jun 18 2022","18986.5","20446.4","20744.7","17630.5","267.25K","-7.13%"
"Jun 17 2022","20444.6","20391.3","21315.4","20244.1","136.27K","0.28%"
"Jun 16 2022","20386.6","22577.9","22942.1","20231.1","144.00K","-9.71%"
"Jun 15 2022","22577.9","22137.5","22754.4","20125.8","280.41K","1.90%"
"Jun 14 2022","22157.3","22449.1","23200.3","20860.9","251.01K","-1.29%"
"Jun 13 2022","22448.0","26606.3","26857.6","22006.3","379.26K","-15.63%"
"Jun 12 2022","26606.3","28404.0","28534.8","26606.3","120.02K","-6.33%"
"Jun 11 2022","28403.4","29083.3","29426.6","28161.8","82.92K","-2.34%"
"Jun 10 2022","29083.3","30097.4","30325.6","28884.9","104.26K","-3.37%"
"Jun 09 2022","30097.8","30202.1","30691.4","29953.8","61.72K","-0.34%"
"Jun 08 2022","30201.6","31127.2","31312.1","29874.8","87.96K","-2.98%"
"Jun 07 2022","31128.8","31370.3","31556.6","29235.0","140.32K","-0.76%"
"Jun 06 2022","31367.6","29911.2","31753.4","29888.6","94.01K","4.86%"
"Jun 05 2022","29913.0","29865.1","30166.9","29539.0","30.33K","0.16%"
"Jun 04 2022","29864.3","29700.9","29963.8","29489.5","33.51K","0.55%"
"Jun 03 2022","29700.9","30455.7","30674.8","29330.8","72.13K","-2.48%"
"Jun 02 2022","30455.5","29798.6","30638.5","29604.4","81.40K","2.20%"
"Jun 01 2022","29798.5","31793.1","31969.9","29396.6","135.09K","-6.27%"
"May 31 2022","31793.4","31730.2","32377.5","31221.2","86.60K","0.22%"
"May 30 2022","31723.3","29465.2","32185.6","29307.2","129.56K","7.66%"
"May 29 2022","29465.2","29027.1","29556.5","28838.7","36.87K","1.51%"
"May 28 2022","29027.1","28620.1","29194.4","28537.2","43.87K","1.49%"
"May 27 2022","28601.2","29194.0","29377.1","28282.2","116.41K","-2.06%"
"May 26 2022","29203.5","29537.9","29868.9","28077.9","126.71K","-1.14%"
"May 25 2022","29540.6","29648.7","30202.3","29353.5","78.85K","-0.36%"
"May 24 2022","29648.7","29091.6","29810.8","28706.1","79.42K","1.91%"
"May 23 2022","29093.3","30287.3","30644.8","28913.6","92.10K","-3.94%"
"May 22 2022","30286.6","29433.0","30462.0","29260.1","50.60K","2.89%"
"May 21 2022","29434.6","29188.7","29623.2","28953.9","32.27K","0.88%"
"May 20 2022","29178.6","30305.9","30735.1","28738.5","98.78K","-3.72%"
"May 19 2022","30305.9","28700.4","30525.1","28682.1","101.38K","5.66%"
"May 18 2022","28683.7","30437.5","30687.9","28648.1","92.03K","-5.76%"
"May 17 2022","30437.5","29856.7","30720.1","29484.5","79.63K","1.97%"
